Nänäre north=Assajee south=Lalale east=Inkö west=Vääkän
Estissädelkä north=Arana south=Kömüä east=Sostahdan west=Oski
Amo north=Älmipä south=Susuvi east=Hunas west=Tile
Äärüüdö north=Süühüönilkidäs south=Äträä east=Hehjäs west=Tikkoo
Änvüvee north=Oossarmit south=Össö east=Lotumarosit west=Oolla
Ihöös north=Tömääntö south=Ähjeelente east=Sido west=Änäi
Tänein north=Kokis south=Espis east=Eitä west=Nöküünnürän
Oulkoo north=Elään south=Nemeni east=Asee west=Näni
Itittako north=Aren south=Anuunua east=Votesileksaa west=Änüüsä
Aahontertin north=Kaanua south=Hülmää east=Tääspäpin west=Tilmäävä
Vüsämä north=Aakkittunun south=Äkinitä east=Jontuulo west=Tälet
Jötömmes north=Ädi south=Haapi east=Tesonii west=Etave
Sääkkä north=Aavikkaalkaat south=Ivoo east=Itkimüüs west=Olita
Mintua north=Küöke south=Hihoikoostikko east=Vekalua west=Timülönüüt
Ilti north=Ärälä south=Hitiinka east=Serjun west=Kihtinoos
Kohmenurastoo north=Inti south=Naalmi east=Resas west=Ääleksöndöösö
Vuskaapa north=Kosovonami south=Läkän east=Sülö west=Serkääs
Äritsöölüä north=Eeresuttis south=Ketäänüüle east=Sistesso west=Älätääs
Ösään north=Lätö south=Ihä east=Älettön west=Idös
Apsetse north=Öhtüümpimüvää south=Aulaa east=Tenmüümö west=Jepas
Pekkos north=Penossaashis south=Ämüütän east=Aulleso west=Inpün
Mirtosti north=Ampila south=Äveiksüttäällün east=Letroka west=Nohtanlas
Käimi north=Kikkursas south=Ippi east=Äärvän west=Olovoon
Nälää north=Nonas south=Sösi east=Möüstän west=Ettonna
Amekkolarsoo north=Iltuula south=Äpin east=Pätäröörelis west=Niltäpe
Äättönä north=Illaaliluli south=Räkötilmöös east=Mata
Inentos north=Tusta south=Töölikin east=Tete west=Savaa
Ariminna north=Niloikua south=Luska east=Ervin west=Leevaalkoon
Süütürre north=Miltua south=Emään east=Tostis west=Teske
Avonsi north=Amitoo south=Pötitüürtäämi east=Nanato
Lesuuhkas north=Ikannusanti south=Kemakaante east=Imillas west=Niirrö
Kestüä north=Kiteittitohdoos south=Sustenpen east=Jäärää west=Löve
Ipä north=Iketaajo south=Vömükö east=Anaa west=Seda
Sihin north=Sikküütäkävöö south=Taaka east=Paajoot west=Tastastila
Käättöpi north=Isi south=Ääkkä east=Aaji west=Änkis
Mäniistö north=Äükkä south=Äälä east=Timaamaa west=Nittälänäni
Ähdö north=Ömeletkön south=Estä east=Ärippi west=Mijülvä
Nisi north=Omas south=Sesoo east=Arastani west=Eikülö
Paarna north=Tatkaa south=Niliinpes east=Oollanai west=Ehnahta
Mesüükä north=Sarollan south=Ääjärmönsi east=Paattise west=Öteettään
Keesiraas north=Jatsoun south=Ati west=Eevan
Visis north=Ehtülmä south=Minotaadiri east=Saskeri west=Eko
Tälki north=Rinnä south=Ehes east=Ävin west=Akooransakii
Mepoti north=Töpiksäris south=Pihääkäät east=Kesakkonkinno west=Nokta
Ässikipööröö north=Elmöntä south=Nitatalire east=Iroo west=Terä
Äöven north=Iijorjankun south=Oksemmaas east=Äölläletinääs west=Notilaresle
Likköi north=Hääketille south=Tosontenje east=Nangii west=Änemä
Emaa north=Keninne east=Vätöri west=Ihdo
Keltääsä north=Enkihikke south=Resän east=Hani west=Sili
Kehtüä north=Rinihja south=Önäperehköö east=Nütäs west=Innästi
Äünkilläs north=Itsan south=Kentatka east=Nuli west=Lästissi
Aiksusi north=Siven south=Inase east=Siikä west=Sänkä
Köre north=Kateta south=Toodaappamaa east=Ikkitüsä west=Tüüntästürävä
Tampuuttot south=Attaamoos east=Osun west=Ritete
Aires north=Itua south=Rärjälmä east=Vopevi west=Taloo
Sälväliti north=Tääspäpin south=Äänünä east=Hüürän west=Hülmää
Sakaneis north=Ijeesta south=Rirussinaat east=Eivis west=Komaa
Köörtääträä north=Ilin south=Vootkattii east=Jusovo west=Oorjaktatustet
Apeistaa north=Sösüüttämäjää south=Taruosan east=Paallegua west=Kunis
Käätä north=Äksüngän south=Ööshön east=Nüsäärästin west=Arjan
Essa north=Eläneri south=Kida east=Noliltupaanson west=Kahtakko
Vete north=Tantesa south=Tusvarraa east=Laka west=Letä
Naakkima north=Eimäänjää south=Etoo east=Töreni west=Aanpeton
Eestale north=Tähänön south=Sümös east=Teleman west=Oussaa
Ärjämmemäkkii north=Selles south=Heritti east=Muhruusti west=Ristö
Serüüskä north=Alko south=Öhtepänäskä east=Kotta west=Mukaa
Ontaha north=Teerkoiton south=Ammaamin east=Esotta west=Ises
Istiditte north=Iste south=Nurni east=Ivörhe west=Ookeljanga
Tenaa north=Eelä south=Alloosos east=Auhkee west=Oulalis
Säniehtirjälös north=Iilöühi south=Sirees east=Päskö west=Kiiköniis
Koida north=Revo south=Estöön east=Pede west=Ööhdivistää
Nüükkö north=Edöräppämä south=Ahos east=Lekumata west=Sapatsa
Apo north=Ehdenitoin south=Pälüntä east=Soka west=Taatun
Töömüpi north=Nilavorua south=Öödöölli east=Espit west=Äävi
Taalas north=Sikis south=Sääsä east=Äppänse west=Parje
Sötkülerä north=Ikoontaasola south=Mämä east=Elmit west=Tätääs
Imestaa north=Lunta south=Kätö east=Retästi west=Rolo
Sühöjändi north=Kieska south=Irjöö east=Öppi west=Esvettöä
Aurellaas north=Sokaale south=Sissäärjidä east=Räsitää west=Nöötüsäs
Intima north=Ivalmepiskin south=Püdetsi east=Lätenääs west=Sütö
Ejinno north=Erritka south=Öönüün east=Raarpunpes west=Ekunarji
Rärüä north=Äälümmö south=Että east=Ehöömöse west=Äkillään
Ninää north=Ökke south=Eivis east=Eerärjää west=Ijeesta
Etonto north=Lüüsmi south=Telto east=Ojokeksero west=Erilolli
Ösälintihtäs north=Ansa south=Iketten east=Akooransakii west=Astalii
Hura north=Takookii south=Tetaneeleemi east=Hula west=Jovakaastaakka
Ööri north=Etka south=Nökki east=Ötööki west=Lovoo
Sasos north=Epsää south=Taasi east=Intepi
Tirre north=Toottutes south=Arta east=Tentallaarvi west=Ineltoo
Nikää north=Lasirja south=Täle east=Ääjä west=Toosta
Illujuustuva north=Ölis south=Itippaa east=Kikä west=Taammospaa
Enaas north=Alasti south=Asehten east=Apen west=Oka
Mälä north=Lahtalasa south=Äärtäästööt east=Nevula west=Ätsekännä
Aakuli north=Idalkolkella south=Muuris east=Rato west=Luumerkerjin
Iroo north=Vinöi south=Lönietäälä east=Ossitassa west=Ässikipööröö
Ape north=Iskoo south=Älääpöünet east=Äksätki west=Nuulessen
Sükenis north=Eläälläs south=Memaa east=Även west=Leetäs
Susa north=Nisse south=Siköölä east=Äünkäski west=Süti
Sursakihda north=Lakina south=Ihmo east=Rähös west=Kajonta
Äänpivättäälöö north=Kinili south=Loonis east=Änö west=Nitra
Ikis north=Kälüs south=Sömäsihve east=Ralka west=Edoonla
Jaante north=Seksäkkis south=Säsvije east=Sinään west=Ilma
Röömi north=Ikalle south=Nehtenääs west=Hilölkä
Nästöhi north=Imi south=Saarelliippi east=Äüsödä west=Asalin
Neki north=Otuuntas south=Aates east=Hastape west=Tädö
Pingi north=Nepö south=Pöllä east=Estün west=Kilee
Löpijäästä north=Rasekaa south=Kisvemestanaa east=Ärjüüsme west=Ölle
Nempipla north=Olopi south=Lali east=Niksutta west=Tehdääsöpsünä
Ääniki north=Suta south=Iririr east=Amepitsuksos west=Kiivä
Älmääläkkilmel north=Olputa south=Nöörüvähädää east=Sakirpamakaa west=Arvillassina
Rallasoo north=Lense south=Hüsä east=Taannaska west=Senimöönää
Ädönä north=Ilmujuus south=Astaarinehti east=Rooraili west=Orjurta
Ästöös north=Saskin south=Kääkküükö east=Sese west=Äättämikkes
Huolkiki north=Nelän south=Sesvensäs east=Lössintön west=Lostatturkosa
Käpäni north=Tollivanelke south=Kervole east=Aata west=Lojaahdi
Hontijaki north=Eto south=Itope east=Arkehduus west=Lirpuuka
Tükkä north=Noopera south=Elaraa east=Ira west=Olkon
Istua north=Änöö south=Nöninkis east=Atimpe west=Pellämä
Lelemonili north=Äntespöö south=Nigo east=Enän west=Kusli
Öüntö north=Touhinsa south=Nirö east=Malovaa west=Etäskä
Ihkise north=Äätöstin south=Tänentäähket east=Öiseedöö west=Ihittevitöös
Päskö north=Entehörjävä south=Nise east=Äsvi west=Säniehtirjälös
Inüvös north=Apluun south=Kärji east=Välli west=Nääsää
Eettira north=Alaraas south=Vemöömä east=Iki west=Ööhtävöösö
Kötäämäsilää north=Öterti south=Lotumarosit east=Käählein west=Oossarmit
Teltirilä north=Lilinkaa south=Esjä east=Laakkomodelka west=Irjeske
Hiltonet north=Enna south=Aataas east=Simmostova west=Nikkää
Sükänselä north=Tarkin south=Orti east=Ekoo west=Lössisäs
Loiranve north=Ästäkerigüs south=Imaskes east=Tippäälpöhmingen west=Räälä
Hääsöörkärä north=Raarpunpes south=Okkookraa east=Söväre west=Öönüün
Kälüünüdäpä north=Ohanka south=Tisala east=Arolanine west=Tahele
Müüjää north=Atsina south=Aasakessaa east=Nääkken west=Näätä
Küünääksä north=Tükün south=Mavelli east=Eraluussulaas west=Peläsä
Kolun north=Täsestä south=Hastape east=Irtepä west=Otuuntas
Ämöönsä north=Inkas south=Turva east=Tekä west=Tuuvi
Aannuramenaa north=Orra south=Tolehkosoon east=Iköidööpälö west=Olkaa
Tüshi north=Püüdä south=Öötintilmelün east=Täsäpää west=Tätö
Äülükkäventi north=Küsühes south=Sestö east=Hehä west=Itula
Aalokka north=Ajaa south=Nihdo east=Tävi west=Tühtä
Nilke north=Aakilen south=Älärkää east=Öksätötkittös west=Koola
Orkerruhta north=Nisenkäkäällä south=Jäänesäseve east=Isvöntitinün west=Naalji
Kikä north=Äälkidä south=Nisänenes east=Linö west=Illujuustuva
Ere north=Sahen south=Vitaa east=Iise west=Taajaa
Najala north=Mata east=Ootta west=Räkötilmöös
Lärmä north=Öösän south=Aamojaa east=Linüs west=Rikö
Ajolonis north=Tete south=Osuuta east=Asti west=Töölikin
Akusvaa north=Tääte south=Öttönä east=Kenuus west=Tirte
Sovatkeskas north=Tüülänsönihtä south=Tukken east=Äläkke west=Limmusa
Olmein north=Ihinsärä south=Lüssi east=Koolkoo west=Vüükärvipältä
Äätevä north=Tookkeloo south=Äätti east=Tutka west=Ikas
Räneetsisö north=Olkaa south=Auris east=Tolehkosoon west=Äköö
Ehta north=Mivekos south=Ärän east=Likka
Niisä north=Ärvökiti south=Öörtäris east=Näntöökkän west=Öökähkästisön
Euspaan north=Torele south=Oorinan east=Röllööpsäs west=Tilköivöli
Rööppümen north=Lägi south=Köjää east=Mäime west=Läpöni
Redatto north=Ajen south=Ilua east=Tälüllää west=Välä
Irüsölmis north=Pättäs south=Kulti east=Kökkärilmi west=Ero
Päkkä north=Testelme south=Oollanai east=Äsket west=Tatkaa
Ettil north=Ätüüt south=Iljelääkövääs east=Korme west=Nilama
Töttäällää north=Lüle south=Eeveekkä east=Soovoritki west=Känninä
Ehtä north=Tormelaa south=Saskeri east=Silkemahaljaa west=Ehtülmä
Lensepis north=Keron south=Resto east=Edi west=Kikasarukki
Isä north=Hivistä south=Ihelka east=Asitsas west=Täpö
Tastastila north=Äkke south=Närtetöhvöttö east=Sihin west=Ökkä
Tuusotema north=Kirpo south=Tastalla east=Löttüä west=Köstenti
Arka north=Arna south=Sidukes east=Näättärös west=Ninsan
Tänüstäs north=Öllipenges south=Amin east=Evükää west=Inääke
Isän north=Tollaanarvoosmi south=Emän east=Ookirterumaan west=Tiniltöö
Isätkün north=Ärer south=Ähkö east=Leedäüllöö west=Touniletove
Muki north=Siläämää south=Äükkintä east=Nanaat west=Liskasa
Össesi north=Olmason south=Ikkitüsä east=Iinädüüt west=Kateta
Irvälitä north=Arota south=Ärtökkärä east=Lölissihjöhi west=Agemesmoo
Repii north=Ookke south=Käsillülii east=Irötäätüke west=Läkki
Irältehede north=Tema south=Totuutarjis east=Serööküüni west=Nesjökestin
Noortutaatasi north=Repen south=Tiröötinä east=Atis west=Enhina
Kihtihi north=Ontis south=Salokaavoo east=Naale west=Inkinüä
Tadevontoormaa north=Avisi south=Nühköli east=Aaja west=Tari
Arva north=Sökkäästi south=Ispürküün east=Öpäättä west=Ettöö
Imehta north=Töösintä south=Övööljö east=Kehoo west=Ääre
Eppiste north=Laka south=Hüülöspe east=Varva west=Tusvarraa
Arolanine north=Ettäänävööle south=Atali east=Asvilli west=Kälüünüdäpä
Kapastinto north=Lerhaalosta south=Jihta east=Nistuntee west=Ädää
Netää north=Arillaa south=Nattehalaatsa east=Tittöö west=Vismüntünääve
Luda north=Reppöke south=Kotta east=Tätäänö west=Alko
Itihjiste north=Ilkivöönestöö south=Laaraa east=Sakkas west=Kintuustehoorva
Läkö north=Älööläjö south=Siläs east=Vastola west=Rurtentan
Känöllösöö north=Olkaarin south=Kevesa east=Nenis west=Mäni
Anseppaa north=Kidoommuuha south=Lääsinäs east=Sörüntää west=Äärvän
Leki north=Küttäpidö south=Rilas east=Äljärö west=Ikuutunihte
Killimertümüün north=Lättämmetänses south=Aune east=Natonti west=Iujaalajoolma
Imo north=Osisteste south=Levilka east=Eisamaa west=Mekäntään
Tüüppämäsä north=Kavaakka south=Apilme east=Niisakoo west=Ispensirni
Akipemaa north=Tättärtäs south=Kutoohaa east=Aahtuusis west=Pevepän
Ittöösjä north=Tirjevepome south=Susaakis east=Lispe west=Numesa
Nülen north=Äüntüsüskälää south=Kinö east=Auselluvei west=Omaa
Itaaduutso north=Töökeen south=Adalaa east=Känninä west=Akontan
Anuustaa north=Pijus south=Naroon east=Lisa west=Serä
Öste north=Rünsä south=Sepse east=Adootukka west=Nisje
Piutaas north=Süüntilüä south=Eekemä east=Ojaska west=Kaasate
Elmullin north=Ineslüttä south=Nupaksan east=Hüstääsläs west=Töötöülihüntüä
Kivis north=Itüüsöön south=Ellin east=Äpi west=Liko
Olvoo north=Täkö south=Epiivatin east=Isuunojaassin west=Äkelkä
Irüttö north=Ervamottis south=Ärö east=Kuukavo west=Talvi
Ille north=Hätesäs south=Ruulkaanaarippes east=Ärästääs west=Audoo
Alotoos north=Inüntiiränö south=Liisääskän east=Merjön west=Älüüni
Nana north=Emi south=Nüükäärsä east=Tasaruraa west=Lostemaa
Oskistima north=Enti south=Meli east=Nuhtonkes west=Avinurorin
Kelaha north=Otee south=Ädüs east=Imäröinürkün west=Luummali
Hontanti north=Nuutkes south=Itaassujana east=Ilise west=Juraa
Möri north=Ännüppä south=Ettilurkison east=Tonan west=Arera
Sähki north=Austo east=Süvä west=Vätöri
Lönipätitö north=Imädertät south=Nähis east=Mitäärpä
Mirnäkkää north=Pisuparheron south=Ranookihkuvua east=Irevüskimüs west=Jintinööpän
Meminekerva north=Audo south=Öliinti east=Line west=Pittoon
Neikki north=Tijääne south=Enö east=Mäne west=Löörjöö
Önääskä north=Raatsa south=Änärhänni east=Onniheree west=Rastesin
Huusmaa north=Asa south=Attaa east=Muukilkakkaaka west=Öksätötkittös
Napokaske north=Tootus south=Jikulmi east=Öömelekkönä west=Vastomalloosken
Väselidööpön north=Oni south=Oovan west=Litsellismo
Hiresäsinüä north=Jitka south=Osteskaan east=Sanikkompumi west=Attivereki
Kisäähes north=Suulottelle south=Jalinuutan east=Paastaana west=Meskerimä
Etüä north=Lale south=Ooros east=Änärtüä west=Aulannape
Ääröne north=Kesmus south=Nisisiistavaa east=Kintuustehoorva west=Sikouta
Kiri north=Aurretse south=Sääsöön west=Tupa
Otoo north=Sülvüühö south=Pekö east=Östä west=Laalittatisi
Irhikape north=Käälkettä south=Ettüürne east=Evaa west=Suuskatsa
Örestün north=Mikä south=Teherva east=Oistanto west=Kaate
Arjaan north=Limiehlode south=Suuli east=Hägäkikenes west=Nönä
Nörüse north=Raalkepo south=Isismääsis east=Naare west=Teveläävüümö
Lansi north=Söüstäjö south=Lirätämüüs east=Tala west=Eliruli
Näskütä north=Helire south=Oornokaan east=Peno west=Aalmes
Todas north=Pistiji south=Tüüstän east=Keesütä west=Nesimmä
Nelkura north=Mepaaraa south=Enennaampo east=Astaa west=Kesterhä
Anuun north=Tirö south=Ähäänsi east=Aurho west=Kanenaa
Siijeirää north=Ihitaa south=Amehan east=Ääräärri west=Tästülötäänä
Lostatturkosa north=Kasta south=Nünnävüümelmi east=Huolkiki west=Lentin
Sörüntää north=Okehiisessa south=Iläämäätse east=Nääne west=Anseppaa
Ätte north=Iluusrelka south=Isälerkön east=Pinas west=Hetuunulvalo
Vuinekan north=Mäsälisürä south=Küüttönnönää east=Iksantanakri west=Töömästää
Tääke north=Kaviruus south=Nistippitamaa east=Äten west=Kosvettos
Ivärrösägä north=Lollena south=Tonas east=Puusvan west=Sejänmiksä
Öörhüürin north=Senin south=Lintorjaamaasaa east=Tovesto west=Äjönke
Kömüä north=Estissädelkä south=Mukkuus east=Kädänöle west=Autonemmaki
Sulillaarkas north=Ipöpüün south=Satkua east=Eskes west=Küsä
Äträä north=Äärüüdö south=Temman east=Pöürüslö west=Oosha
Össö north=Änvüvee south=Oruupli east=Äsvipi west=Äädö
Ähjeelente north=Ihöös south=Ööstäs east=Pipe west=Pella
Espis north=Tänein south=Iita east=Könen west=Iktaa
Nemeni north=Oulkoo south=Etkakirupi east=Säpüülün west=Nümelää
Küüvänääre north=Impimöös south=Limün east=Vattoonsi west=Naaja
Hülmää north=Aahontertin south=Vensüüsövö east=Sälväliti west=Allekan
Iirpurnetaa north=Iskas south=Roolutsara east=Ino west=Etteensinila
Sävöölküülläämä north=Enulana south=Ärilöön east=Ääriri west=Ena
Aavikkaalkaat north=Atin south=Sääkkä east=Ruumme west=Takota
Küöke north=Lestä south=Mintua east=Äkre west=Alkonpa
Tetulaski north=Ville south=Asehjenpina east=Irahmevasi west=Äätääjää
Ärälä north=Esüüste south=Ilti east=Äkküvös west=Jooniti
Insinkä north=Irö south=Lämälä east=Ähälen west=Ölüs
Ääsislilte north=Ettävän south=Veentoo east=Sevi west=Ikissimeeve
Eeresuttis north=Karsise south=Äritsöölüä east=Nuroongeti west=Lälisöntidis
Öhtüümpimüvää north=Pelä south=Apsetse east=Irjilarki west=Ataapa
Ärä north=Hiluvo south=Inä east=Jorkirakooman west=Äkkäne
Äveiksüttäällün north=Mirtosti south=Mehtiris east=Innon west=Jällive
Ippi north=Käimi south=Vipäi east=Sutas west=Salaslun
Sösi north=Nälää south=Appuusi east=Semalta west=Vämälüä
Ojollerurua north=Rilüüpüürve south=Arvoolis east=Jahtemaa west=Akallen
Räkötilmöös north=Äättönä east=Najala
Ejöörnä north=Ättüüntä south=Vivänlä east=Nipsole west=Ömi
Luska north=Ariminna south=Säärähkiränte east=Ikoheedapei west=Vüstin
Olan north=Tersartasohjas south=Korme east=Sanilla west=Ätüüt
Pötitüürtäämi north=Avonsi south=Emes east=Kääkössen
Ikannusanti north=Menan south=Lesuuhkas east=Vosa west=Reskaan
Kiteittitohdoos north=Emmi south=Kestüä east=Idä west=Ötin
Iketaajo north=Alaasaa south=Ipä east=Makkosos west=Töre
Inkäälä north=Tääneväven south=Oori east=Akoorra west=Opsotua
Lirtädä north=Asi south=Illäräküüstää east=Räküüstön west=Vööhehä
Ipörtühimöö north=Ilkiinetse east=Hinnä west=Asaannis
Äükkä north=Ikas south=Mäniistö east=Äätti west=Sotetahuvi
Vinähö north=Kätää south=Ilerhi east=Iluusasaarraa west=Anajan
Omas north=Löntäkä south=Nisi east=Suutkaa west=Hörnööngi
Niliinpes north=Paarna south=Aruhemmoo east=Tento west=Olmepoliha
Sarollan north=Rivä south=Mesüükä east=Kehäskähüö west=Ete
Ölähvösöörsä north=Rünvihettüvöö south=Jenti west=Hana
Minotaadiri north=Visis south=Määlkämä east=Äänää west=Tirajatkitto
Ehes north=Tälki south=Täri east=Alin west=Altonitta
Pihääkäät north=Mepoti south=Leskä east=Vööstääröre west=Oli
Elüüstäntöö north=Isien south=Allon east=Päällittikän west=Eloo
Ome north=Vaalmekkoottera south=Attune east=Jurton west=Kitöhkäli
Tosontenje north=Likköi south=Ätikä east=Iskeküti west=Natonti
Läärööttä north=Jivi south=Restän east=Tikkattaas west=Lodis
Suukuken north=Süti south=Ästäjävöö east=Siköölä west=Ettööjään
Önäperehköö north=Kehtüä south=Ääserkä east=Raaskos west=Rämö
Kentatka north=Äünkilläs south=Ertäätinvetös east=Raki west=Auhtuunturko
Kivorjaa north=Estisa south=Tova east=Süvääsi west=Äkre
Kateta north=Eiherus south=Köre east=Össesi west=Lävökää
Äjäne north=Kenätsää south=Esti east=Tuustuntane west=Lela
Itua north=Eerürüüsä south=Aires east=Ätötää west=Vuvarsis
Tääspäpin north=Hööte south=Sälväliti east=Tüümäivä west=Aahontertin
Tapitturis north=Ivästütösti south=Itsosapsen east=Lätti west=Ätin
Ilin north=Nälös south=Köörtääträä east=Mestuhkaan west=Märetää
Sösüüttämäjää north=Hipos south=Apeistaa east=Övüügin west=Koohta
Äksüngän south=Käätä east=Sikilkühises west=Äki
Äättää north=Taatoo south=Asika east=Lellastoopomen west=Aatuunin
Eläneri north=Äiteläküä south=Essa east=Tuhas west=Sesimin
Tusvarraa north=Vete south=Pokka east=Eppiste west=Niste
Etoo north=Naakkima south=Ovihka east=Ihjenilaa west=Rirkipantaa
Sümös north=Eestale south=Mätelötütä east=Iskaapi west=Ralka
Heritti north=Ärjämmemäkkii south=Tepesommaanso east=Sonuta west=Sortos
Öhtepänäskä north=Serüüskä south=Äänis east=Aalin west=Nuhtonkes
Vasaatomo north=Serjun south=Äküümäävöt east=Mame west=Hitiinka
Nurni north=Istiditte south=Ekää east=Leltie west=Kiltantikase
Alloosos north=Tenaa south=Isuunojaassin east=Keppöös west=Täkö
Estilihduukkin north=Irumaa south=Ösvülälkäsköös east=Öpi west=Irevüskimüs
Revo north=Leenäküä south=Koida east=Äikte west=Äppi
Vina north=Pökkän south=Kaajostas east=Aksimo west=Nuuta
Ehdenitoin north=Tapsava south=Apo east=Ärte west=Sintöönäti
Nilavorua north=Hola south=Töömüpi east=Aasi west=Nütes
Paskaa north=Äästärjes south=Äkirji east=Pürinnüün west=Eemitsustaa
Ikoontaasola north=Äüttö south=Sötkülerä east=Sörkäänä west=Rörrilä
Lenesistö north=Essar south=Inün east=Opsotua west=Lemaa
Jepurjakana north=Ekes south=Jäte east=Evottas west=Ipehurarus
Tantoliniro north=Ottetta south=Äänevä east=Iskehi west=Metihtinervö
Tülüs north=Akoorra south=Tinöläänönä east=Aarastilee west=Oori
Erritka north=Alti south=Ejinno east=Silluris west=Titi
Että north=Rärüä south=Roski east=Rurheva west=Räüdürtäsis
Ättösäällünnää north=Idääsiksähi south=Ilise east=Tosokikaa west=Nuutkes
Eivis north=Ninää south=Ostiskis east=Äköös west=Sakaneis
Lüüsmi north=Tonan south=Etonto east=Nejirkuuna west=Ettilurkison
Äüläärjintinöö north=Netusto south=Oosanokkaapsa east=Akesaa west=Näättärös
Emölis north=Äntääkä south=Nevää east=Töhmäki west=Äsüürjä
Tetaneeleemi north=Hura south=Nitalusijus east=Pumis west=Räküükän
Äpin north=Amekkolarsoo south=Naakoos east=Ellinkoa west=Äüntärä
Äkelkä north=Sitäätän south=Taalelodi east=Olvoo
Arta north=Tirre south=Lurri east=Hähe west=Etinteesa
Täle north=Nikää south=Hühöön east=Käänälääs west=Äälti
Tikülli north=Sömüä south=Ärhönättätän east=Lenitöttääväs west=Peno
Asehten north=Enaas south=Nörtie east=Evepe west=Ehekasaan
Lahtalasa north=Ältää south=Mälä east=Ires west=Anni
Närkö north=Siska south=Elun east=Esöhükö west=Ietulalin
Vinöi north=Aulilko south=Iroo east=Äpe west=Elmöntä
Älös north=Etsa south=Ähää east=Lela west=Kori
Eläälläs north=Piskee south=Sükenis east=Isupa west=Äütenä
Nisse north=Ahta south=Susa east=Anunee west=Pilo
Häställäännö north=Väisikää south=Nöhä east=Äüli west=Astura
Kinili north=Sestollokaakaa south=Äänpivättäälöö east=Aruulvemantin west=Iintinta
Sömäsihve north=Ikis south=Opa east=Opoo west=Estäänä
Seksäkkis north=Huulunkas south=Jaante east=Luttis west=Ästööksenes
Reniniti north=Tääsüünnön south=Nununpenehi west=Suutua
Saarelliippi north=Nästöhi south=Toki east=Isikkelo west=Ollalvi
Meisten north=Äästis south=Ätsänsi east=Nivää west=Örniktis
Pöllä north=Pingi south=Lääji east=Näkärte west=Vilkuntikeha
Kisvemestanaa north=Löpijäästä south=Ero east=Pättäs west=Vöüsäkäräsä
Lali north=Nempipla south=Aasma east=Kitaakkerenus west=Tükerütä
Alus north=Paallegua south=Puusuus east=Aamirri west=Taruosan
Nöörüvähädää north=Älmääläkkilmel south=Kikasarukki east=Keron west=Äänüülle
Hüsä north=Rallasoo south=Ineüllüüvätä east=Aalkaa west=Äkinämüppet
Astaarinehti north=Ädönä south=Kuvi east=Virjan west=Äsäsä
Esoopa north=Korile south=Änelöö east=Ledoora west=Laakis
Sesvensäs north=Huolkiki south=Istöli east=Anusmimaas west=Nünnävüümelmi
Läälä north=Ladodestupun south=Pesöösääsüüsme east=Äntöö west=Kuulisvo
Akse north=Novepi south=Kiliiltä east=Össäsis west=Alli
Eto north=Ölikän south=Hontijaki east=Henös west=Iimara
Sikä north=Eres south=Kimuuki east=Eenäköö west=Rulon
Ähvöjön north=Pümään south=Sikkan east=Nöinä west=Räküüstön
Änöö north=Äpüüpsöörirän south=Istua east=Oporsinoren west=Nuuhtaaman
Äntespöö north=Ämämäni south=Lelemonili east=Artaa west=Ookalunni
Leltie north=Ivörhe south=Sänöösäpsä east=Ähiväs west=Nurni
Mimeko north=Tiktalo south=Annis east=Itagi west=Kätäsä
Entehörjävä north=Erken south=Päskö east=Maakkoon west=Iilöühi
Kärji north=Inüvös south=Äpe east=Tila west=Aulilko
Sirsö north=Äsänä south=Petenaa east=Suurhovaaroste west=Inas
Öterti north=Listi south=Kötäämäsilää east=Ästömää west=Aases
Esjä north=Teltirilä south=Ölödin east=Tömävi west=Aaruuratellaa
Enna north=Rävää south=Hiltonet east=Pestokamopa west=Kerkin
Orti north=Sükänselä south=Vatejine east=Attuon west=Kini
Säleinerinä south=Linehi east=Appa west=Viken
Okkookraa north=Hääsöörkärä south=Hallalara east=Hititsikis west=Önne
Hähäkkin north=Simma south=Atsaan east=Hiirensövättä west=Sintöplin
Aasakessaa north=Müüjää south=Soodoomarto east=Önnälpöke west=Innojus
Mavelli north=Küünääksä south=Öönääninä east=Kasa west=Jooroova
Hastape north=Kolun south=Riskuuta east=Nüümä west=Neki
Turva north=Ämöönsä south=Nesaan east=Ännö west=Ipaasirto
Aale north=Öllööpe south=Äsöön east=Toonnuutto west=Kiresä
Püüdä north=Neessa south=Tüshi east=Limöpi west=Milmaanka
Aonke north=Kanoopa south=Kila east=Äpsätääs west=Teres
Sermi north=Iitosohtalo south=Tilmäävä east=Kaanua west=Leltose
Pumis north=Hula south=Kappaliljikaan east=Ninhii west=Tetaneeleemi
Nisenkäkäällä north=Aakkukkaa south=Orkerruhta east=Ööttepä west=Ahite
Oraarke north=Testinä south=Noojaa east=Ööle west=Vehä
Äälkidä north=Inneurva south=Kikä east=Äälöös west=Ölis
Istolokali north=Sälkökä south=Kidipitö east=Kühtörörös west=Kittinerjösi
Aamojaa north=Lärmä south=Isupa east=Ääköstäälüpin west=Piskee
Änketävö north=Näävirivö south=Tiloormo east=Laalmasooloot west=Kejuseskarse
Öttönä north=Akusvaa south=Küülmääs east=Illes west=Nümeni
Tukken north=Sovatkeskas south=Äligä east=Eikke west=Innä
Mäkön north=Irääletääs south=Höne east=Ähvö west=Käli
Äätti north=Äätevä south=Timaamaa east=Sänilvöö west=Äükkä
Ärjillillüten north=Arhi south=Kaapappene east=Nosti west=Ruuki
Ärän north=Ehta south=Oksi east=Tahta
